Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,0.53,1.0,0.45,0.916,1.076,302.255,2640.442,1323.11,0.026,0.064,School
AIC_Nayanaekaton_Primary_School,Turkana,0.265,1.0,0.225,0.916,1.206,249.202,2449.112,902.555,0.006,0.012,School
A_IC_Gangani_Primary_School,Kwale,0.53,1.0,0.45,0.854,0.787,222.381,2640.442,1323.11,0.051,0.048,School
Abagarse_Primary_School,Isiolo,0.265,1.0,0.225,0.929,1.327,273.643,2449.112,902.555,0.004,0.008,School
Akadeli_Primary_School,Isiolo,0.53,1.0,0.45,0.9,0.605,170.599,2640.442,1323.11,0.02,0.019,School
Akili_Primary_School,Isiolo,0.53,1.0,0.45,0.886,0.933,263.002,2640.442,1323.11,0.05,0.081,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.06,5.0,0.901,4.472,0.513,166.84,4523.102,2604.22,0.055,0.093,School
Antorita_Primary_School,Kwale,0.53,2.0,0.45,1.863,0.877,235.431,3015.442,1433.11,0.028,0.068,School
Bahero_Primary_School,Kilifi,0.53,2.0,0.45,1.846,0.806,216.992,3015.442,1433.11,0.033,0.053,School
Balaga_Primary_School,Kilifi,0.53,2.0,0.45,1.809,0.713,191.538,3015.442,1433.11,0.066,0.1,School
Bengoni_Primary_School,Kilifi,0.795,3.0,0.676,2.739,0.671,207.644,3581.772,1963.665,0.032,0.082,School
Biliqo_Day_Secondary_school,Isiolo,1.06,4.0,0.901,3.5,0.467,157.855,4148.102,2494.22,0.058,0.085,School
Bomani_Primary_School,Kwale,0.53,2.0,0.45,1.79,0.751,199.833,3015.442,1433.11,0.013,0.021,School
Boyani_Dispensary,Kilifi,0.795,3.0,0.676,2.641,0.434,133.966,3581.772,1963.665,0.028,0.031,Clinic
Boyani_West_Primary_School,Kwale,0.53,1.0,0.45,0.873,0.702,198.271,2640.442,1323.11,0.093,0.092,School
Bura_Primary_School,Kilifi,0.795,4.0,0.676,3.461,0.451,133.661,3956.772,2073.665,0.06,0.083,School
Busa_Dispensary,Kwale,0.795,3.0,0.676,2.685,0.519,160.489,3581.772,1963.665,0.05,0.088,Clinic
Chidzaya_Primary_School,Kwale,0.265,1.0,0.225,0.926,1.379,285.113,2449.112,902.555,0.002,0.002,School
Chingombero_Dispensary,Kwale,0.795,2.0,0.676,1.791,0.564,198.233,3564.402,2225.665,0.058,0.064,Clinic
Chumvi_yere_Primary_School,Isiolo,1.855,8.0,1.577,7.023,0.412,162.47,6579.722,4567.885,0.052,0.086,School
Daaba_Primary_School,Isiolo,0.53,2.0,0.45,1.913,1.728,464.32,3015.442,1433.11,0.017,0.039,School
Dadacha_Basa_Dispensary,Isiolo,1.325,4.0,1.126,3.52,0.361,136.937,4339.432,2914.775,0.039,0.044,Clinic
Dadachabasa_Primary_School,Isiolo,0.265,1.0,0.225,0.908,1.063,220.321,2449.112,902.555,0.042,0.069,School
Dera_Tumaini_Primary_School,Kilifi,0.53,2.0,0.45,1.724,0.626,167.616,3015.442,1433.11,0.029,0.034,School
Dighai_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.827,0.881,235.03,3015.442,1433.11,0.003,0.004,School
Dzendereni_Primary_School,Kwale,0.53,2.0,0.45,1.829,0.717,191.892,3015.442,1433.11,0.023,0.029,School
Dzombo_Primary_School,Kwale,0.265,1.0,0.225,0.942,1.612,332.977,2449.112,902.555,0.01,0.032,School
Ekoropus_Primary_School,Turkana,0.53,2.0,0.45,1.833,0.802,213.76,3015.442,1433.11,0.003,0.004,School
Elsa_Primary_School,Isiolo,0.53,1.0,0.45,0.911,1.532,429.341,2640.442,1323.11,0.026,0.075,School
Elsa_Secondary_School,Isiolo,1.325,7.0,1.126,6.773,1.26,440.792,5822.062,3616.775,0.035,0.081,School
Emejen_Primary_School,Isiolo,0.795,4.0,0.676,3.455,0.445,132.016,3956.772,2073.665,0.057,0.08,School
Fudumulo_Primary_School,Kilifi,0.53,2.0,0.45,1.82,0.898,240.135,3015.442,1433.11,0.003,0.004,School
Galmadido_Primary_School,Isiolo,0.53,2.0,0.45,1.814,0.838,225.291,3015.442,1433.11,0.015,0.031,School
Galukani_Primary_School,Kilifi,0.53,1.0,0.45,0.929,1.537,487.997,2998.072,1695.11,0.014,0.093,School
Gamachu_Primary_School,Isiolo,0.53,2.0,0.45,1.854,1.021,271.015,3015.442,1433.11,0.007,0.02,School
Garbatula_Primary_Boarding,Isiolo,0.795,2.0,0.676,1.754,0.552,179.345,3206.772,1853.665,0.069,0.075,School
Gideon_Mosi_Primary_School,Taita_Taveta,0.53,1.0,0.45,0.884,0.763,215.358,2640.442,1323.11,0.044,0.069,School
Gozani_Primary_School,Kwale,0.53,2.0,0.45,1.774,0.621,165.992,3015.442,1433.11,0.026,0.035,School
Hawe_Wanje_Primary_School,Kilifi,0.53,2.0,0.45,1.75,0.643,172.748,3015.442,1433.11,0.069,0.088,School
Isiolo_Samburu_Complex_Dispensary,Isiolo,1.06,3.0,0.901,2.74,0.616,231.995,4130.732,2756.22,0.048,0.09,Clinic
Isiolo_Samburu_Complex_Primary_School,Isiolo,0.265,1.0,0.225,0.944,1.627,336.169,2449.112,902.555,0.004,0.012,School
Jezazhomu_Primary_School,Kilifi,0.53,3.0,0.45,2.697,0.656,168.619,3390.442,1543.11,0.024,0.051,School
Jitegemee_Primary_School,Kwale,0.53,2.0,0.45,1.806,0.706,187.976,3015.442,1433.11,0.017,0.019,School
Kaalem_Primary_School,Turkana,0.265,2.0,0.225,1.839,0.987,199.24,2824.112,1012.555,0.031,0.049,School
Kadunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.953,1.933,399.397,2449.112,902.555,0.002,0.005,School
Kajungunyi_Primary_School,Taita_Taveta,1.325,5.0,1.126,4.354,0.432,156.347,4714.432,3024.775,0.057,0.099,School
Kakalel_Boys_Secondary_School,Turkana,0.795,3.0,0.676,2.783,0.754,231.26,3581.772,1963.665,0.023,0.046,School
Kalokoda_Primary_School,Turkana,0.265,1.0,0.225,0.932,1.844,380.661,2449.112,902.555,0.0,0.0,School
Kaluweni_Primary_School,Kwale,0.53,2.0,0.45,1.796,0.809,215.519,3015.442,1433.11,0.001,0.001,School
Kaole_Primary_School,Kilifi,0.53,2.0,0.45,1.765,0.69,184.681,3015.442,1433.11,0.038,0.091,School
Kapecha_Primary_School,Kilifi,0.795,3.0,0.676,2.734,0.671,208.773,3581.772,1963.665,0.039,0.087,School
Karyaka_Primary_School,Kwale,0.53,1.0,0.45,0.877,0.727,205.866,2640.442,1323.11,0.092,0.085,School
Kasimani_Primary_School,Kilifi,0.795,3.0,0.676,2.647,0.502,155.028,3581.772,1963.665,0.02,0.023,School
Kasuroi_Primary_School,Turkana,0.265,1.0,0.225,0.872,0.932,194.079,2449.112,902.555,0.074,0.084,School
Kavunyalo_Dispensary,Kilifi,1.06,4.0,0.901,3.469,0.397,135.21,4148.102,2494.22,0.064,0.075,Clinic
Kawala_Girls_Secondary_School,Kilifi,0.53,1.0,0.45,0.871,0.648,182.919,2640.442,1323.11,0.09,0.081,School
Kawalash_Primary_School,Isiolo,0.265,1.0,0.225,0.911,1.098,228.602,2449.112,902.555,0.04,0.07,School
Kibora_Primary_School,Kilifi,0.53,1.0,0.45,0.905,1.116,314.14,2640.442,1323.11,0.025,0.049,School
Kidomaya_Primary_School,Kwale,0.53,2.0,0.45,1.798,0.614,164.175,3015.442,1433.11,0.045,0.053,School
Kikonde_Primary_School,Kwale,0.53,2.0,0.45,1.768,0.567,151.811,3015.442,1433.11,0.068,0.067,School
Kinna_Primary_School,Isiolo,0.265,1.0,0.225,0.879,1.025,212.455,2449.112,902.555,0.032,0.039,School
Kiteje_Mixed_Secondary_School,Kwale,1.325,4.0,1.126,3.445,0.389,147.34,4339.432,2914.775,0.069,0.079,School
Kithengwani_Primary_School,Kilifi,0.265,1.0,0.225,0.956,2.156,446.12,2449.112,902.555,0.003,0.012,School
Kituoni_Primary_School,Kwale,0.265,1.0,0.225,0.885,0.886,184.533,2449.112,902.555,0.085,0.089,School
Kituu_Primary_School,Kwale,1.06,3.0,0.901,2.57,0.455,162.84,3773.102,2384.22,0.083,0.099,School
Kizimbani_Primary_School,Kwale,0.53,2.0,0.45,1.809,0.895,239.18,3015.442,1433.11,0.003,0.003,School
Kombola_primary_school,Isiolo,0.265,1.0,0.225,0.918,1.205,248.123,2449.112,902.555,0.009,0.016,School
Konjora_Primary_School,Kilifi,0.265,1.0,0.225,0.923,1.102,228.728,2449.112,902.555,0.011,0.017,School
Kubimatamuka_Primary_School,Isiolo,0.265,1.0,0.225,0.862,0.859,178.519,2449.112,902.555,0.051,0.058,School
KulaMawe_Primary_School,Isiolo,0.53,2.0,0.45,1.837,0.694,186.415,3015.442,1433.11,0.032,0.073,School
Kulalu_Primary_School,Kilifi,0.53,2.0,0.45,1.848,0.969,257.475,3015.442,1433.11,0.001,0.002,School
Lakole_Primary_School,Isiolo,0.53,2.0,0.45,1.857,0.969,257.68,3015.442,1433.11,0.01,0.028,School
Lobei_Primary_School,Turkana,0.53,3.0,0.45,2.705,0.68,174.298,3390.442,1543.11,0.028,0.048,School
Lokitaung_Girls_Secondary_School,Turkana,0.795,4.0,0.676,3.569,0.554,163.788,3956.772,2073.665,0.064,0.094,School
