Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
Kaole_Primary_School,Kilifi,1.59,6.0,1.352,5.738,1.1,415.755,5280.762,3555.33,0.0,0.0,School
Kapecha_Primary_School,Kilifi,2.12,6.0,1.802,5.703,0.969,426.097,5663.422,4396.44,0.0,0.0,School
Karyaka_Primary_School,Kwale,1.325,3.0,1.126,2.861,1.002,398.511,3964.432,2804.775,0.0,0.0,School
Kasimani_Primary_School,Kilifi,1.325,5.0,1.126,4.639,0.648,233.357,4714.432,3024.775,0.0,0.0,School
Kasuroi_Primary_School,Turkana,0.53,2.0,0.45,1.857,1.056,281.803,3015.442,1433.11,0.0,0.0,School
Kavunyalo_Dispensary,Kilifi,2.65,8.0,2.253,7.423,0.606,273.499,6796.082,5457.55,0.0,0.0,Clinic
Kawala_Girls_Secondary_School,Kilifi,1.325,2.0,1.126,1.861,0.814,342.296,3589.432,2694.775,0.0,0.0,School
Kawalash_Primary_School,Isiolo,0.53,3.0,0.45,2.909,1.42,363.809,3390.442,1543.11,0.0,0.0,School
Kibora_Primary_School,Kilifi,0.795,2.0,0.676,1.897,1.29,418.073,3206.772,1853.665,0.0,0.0,School
Kidomaya_Primary_School,Kwale,1.06,3.0,0.901,2.785,0.731,258.544,3773.102,2384.22,0.0,0.0,School
Kikonde_Primary_School,Kwale,1.325,3.0,1.126,2.748,0.697,276.933,3964.432,2804.775,0.0,0.0,School
Kinna_Primary_School,Isiolo,0.53,2.0,0.45,1.878,1.219,324.589,3015.442,1433.11,0.0,0.0,School
Kiteje_Mixed_Secondary_School,Kwale,1.855,8.0,1.577,7.379,0.516,194.902,6222.092,4195.885,0.001,0.0,School
Kithengwani_Primary_School,Kilifi,0.53,1.0,0.45,0.959,2.304,647.681,2640.442,1323.11,0.0,0.0,School
Kituoni_Primary_School,Kwale,0.53,2.0,0.45,1.87,0.997,266.35,3015.442,1433.11,0.0,0.0,School
Kituu_Primary_School,Kwale,1.855,6.0,1.577,5.507,0.597,243.976,5472.092,3975.885,0.0,0.0,School
Kizimbani_Primary_School,Kwale,0.795,2.0,0.676,1.81,0.95,308.53,3206.772,1853.665,0.0,0.0,School
Kombola_primary_school,Isiolo,0.53,2.0,0.45,1.918,1.463,387.973,3015.442,1433.11,0.0,0.0,School
Konjora_Primary_School,Kilifi,0.53,1.0,0.45,0.935,1.177,331.597,2640.442,1323.11,0.0,0.0,School
Kubimatamuka_Primary_School,Isiolo,0.53,2.0,0.45,1.851,1.001,266.53,3015.442,1433.11,0.0,0.0,School
KulaMawe_Primary_School,Isiolo,1.06,5.0,0.901,4.825,0.968,313.863,4523.102,2604.22,0.0,0.0,School
Kulalu_Primary_School,Kilifi,0.795,2.0,0.676,1.849,1.03,332.682,3206.772,1853.665,0.0,0.0,School
Lakole_Primary_School,Isiolo,0.795,5.0,0.676,4.853,1.354,381.882,4331.772,2183.665,0.0,0.0,School
Lobei_Primary_School,Turkana,1.325,4.0,1.126,3.693,0.832,313.58,4339.432,2914.775,0.0,0.0,School
Lokitaung_Girls_Secondary_School,Turkana,1.59,7.0,1.352,6.522,0.721,262.098,5655.762,3665.33,0.0,0.0,School
Loruth_Primary_School,Turkana,0.795,2.0,0.676,1.795,0.851,275.949,3206.772,1853.665,0.0,0.0,School
Lunguma_Primary_School,Kwale,1.06,2.0,0.901,1.826,0.852,320.102,3398.102,2274.22,0.0,0.0,School
Lwayoni_Primary_School,Kwale,2.12,5.0,1.802,4.585,0.686,317.171,5646.052,4658.44,0.0,0.0,School
Mabayani_Primary_School,Kwale,1.06,4.0,0.901,3.76,0.926,311.645,4148.102,2494.22,0.0,0.0,School
Mabesheni_Dispensary,Kwale,1.855,6.0,1.577,5.526,0.56,227.878,5472.092,3975.885,0.0,0.0,Clinic
Madibwani_Primary_School,Kwale,0.795,4.0,0.676,3.865,1.628,479.427,3956.772,2073.665,0.0,0.0,School
Maendeleo_Primary_School,Kwale,0.795,2.0,0.676,1.813,0.923,299.47,3206.772,1853.665,0.0,0.0,School
Mafisini_Primary_School,Kwale,1.59,3.0,1.352,2.879,1.003,438.676,4155.762,3225.33,0.0,0.0,School
Magale_Primary_School,Kwale,0.795,2.0,0.676,1.879,1.003,325.476,3206.772,1853.665,0.0,0.0,School
Magodzoni_Primary_School,Kwale,0.795,3.0,0.676,2.825,1.067,327.317,3581.772,1963.665,0.0,0.0,School
Maiyini_Primary_School,Kwale,0.795,2.0,0.676,1.837,0.994,322.312,3206.772,1853.665,0.0,0.0,School
Majoreni_Primary_School,Kwale,3.445,9.0,2.928,8.169,0.542,270.258,8102.702,7201.215,0.0,0.0,School
Makamini_Dispensary,Kwale,0.795,5.0,0.676,4.853,1.165,329.808,4331.772,2183.665,0.0,0.0,Clinic
Makonjeni_Primary_School,Kilifi,2.12,6.0,1.802,5.826,1.637,716.647,5663.422,4396.44,0.0,0.0,School
Malkadaka_Primary_School,Isiolo,0.795,3.0,0.676,2.81,0.919,281.823,3581.772,1963.665,0.0,0.0,School
Mama_Saleti_Primary_School,Isiolo,0.265,3.0,0.225,2.94,2.337,459.26,3199.112,1122.555,0.0,0.0,School
Mapawa_Primary_School,Kilifi,0.53,7.0,0.45,6.793,1.32,300.758,4890.442,1983.11,0.0,0.0,School
Maphanga_Primary_School,Kwale,0.795,6.0,0.676,5.855,1.66,489.907,5064.402,2665.665,0.0,0.0,School
Marafiki_Primary_School,Kilifi,0.795,1.0,0.676,0.95,1.8,622.85,2831.772,1743.665,0.0,0.0,School
Mataarba_Primary_School,Isiolo,0.795,2.0,0.676,1.877,1.37,443.529,3206.772,1853.665,0.0,0.0,School
Matagari_primary_School,Isiolo,1.59,6.0,1.352,5.803,0.991,372.548,5280.762,3555.33,0.0,0.0,School
Matolani_Primary_School,Kilifi,0.53,3.0,0.45,2.925,1.551,398.131,3390.442,1543.11,0.0,0.0,School
Mawe_Mabomu_Primary_School,Kilifi,0.795,3.0,0.676,2.778,0.825,253.727,3581.772,1963.665,0.0,0.0,School
Maya_Island_Primary_School,Kilifi,1.06,6.0,0.901,5.851,1.475,459.6,4898.102,2714.22,0.0,0.0,School
Mazola_Dispensary,Kwale,1.325,5.0,1.126,4.757,0.926,332.146,4714.432,3024.775,0.0,0.0,Clinic
Mbararani_Primary_School,Kwale,0.53,2.0,0.45,1.91,1.511,402.215,3015.442,1433.11,0.0,0.0,School
Mbilini_Primary_School,Kwale,0.265,1.0,0.225,0.953,2.431,504.076,2449.112,902.555,0.0,0.0,School
Mbita_Primary_School,Kwale,1.855,6.0,1.577,5.554,0.665,271.661,5472.092,3975.885,0.0,0.0,School
Mbulia_Dispensary,Taita_Taveta,0.53,3.0,0.45,2.816,0.991,252.766,3390.442,1543.11,0.0,0.0,Clinic
Mchinjirini_Primary_School,Kwale,2.12,9.0,1.802,8.745,1.003,392.611,6788.422,4726.44,0.0,0.0,School
Melikubwa_Primary_School,Kwale,1.59,2.0,1.352,1.872,1.098,508.895,3780.762,3115.33,0.0,0.0,School
Merti_Muslim_Primary_School,Isiolo,0.795,4.0,0.676,3.814,1.193,350.695,3956.772,2073.665,0.0,0.0,School
Mgange_Dawida_Health_centre,Taita_Taveta,2.385,15.0,2.027,14.658,1.176,423.516,9587.382,6178.995,0.0,0.0,Clinic
Mgange_Nyika_health_centre,Taita_Taveta,5.83,29.0,4.956,28.698,2.873,1252.262,18039.932,13930.21,0.0,0.0,Clinic
Mikameni_Primary_School,Kwale,1.325,4.0,1.126,3.761,0.809,305.713,4339.432,2914.775,0.0,0.0,School
Mitangani_Primary_School,Kilifi,0.265,2.0,0.225,1.933,1.942,390.813,2824.112,1012.555,0.0,0.0,School
Mitangoni_Primary_School,Kilifi,0.795,3.0,0.676,2.796,0.888,272.759,3581.772,1963.665,0.0,0.0,School
Mitulani_Primary_School,Kilifi,1.06,7.0,0.901,6.861,1.38,416.414,5273.102,2824.22,0.0,0.0,School
Mitunguni_Primary_School,Kwale,0.265,2.0,0.225,1.949,1.572,316.139,2824.112,1012.555,0.0,0.0,School
Mkuluni_Primary_School,Kilifi,1.855,7.0,1.577,6.685,1.059,424.234,6204.722,4457.885,0.0,0.0,School
Mlilo_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.884,1.047,279.562,3015.442,1433.11,0.0,0.0,School
Mlola_Primary_School,Kwale,0.53,3.0,0.45,2.882,1.184,301.546,3390.442,1543.11,0.0,0.0,School
Mogore_Primary_School,Isiolo,0.53,1.0,0.45,0.954,1.993,562.418,2640.442,1323.11,0.0,0.0,School
Mrima_Wa_Kuku_Primary_School,Kilifi,0.795,4.0,0.676,3.895,1.447,426.257,3956.772,2073.665,0.0,0.0,School
Mtsamviani_Secondary_School,Kwale,2.385,6.0,2.027,5.461,0.559,258.175,5854.752,4816.995,0.0,0.0,School
Mtsangatamu_Primary_School,Kwale,0.795,3.0,0.676,2.876,0.945,290.268,3581.772,1963.665,0.0,0.0,School
Mtumwa_Dispensary,Kwale,2.65,8.0,2.253,7.471,0.655,304.263,7511.342,6201.55,0.0,0.0,Clinic
Muchuro_Primary_School,Isiolo,0.265,2.0,0.225,1.969,4.212,839.351,2824.112,1012.555,0.0,0.0,School
Mugumoni_Primary_School,Kilifi,0.53,3.0,0.45,2.895,1.694,430.181,3390.442,1543.11,0.0,0.0,School
Muhumkulu_Primary_School,Kilifi,2.915,6.0,2.478,5.657,0.864,441.648,6237.412,5658.105,0.0,0.0,School
Munandanur_Primary_School,Isiolo,0.795,2.0,0.676,1.896,1.212,390.829,3206.772,1853.665,0.0,0.0,School
Mwaluvuno_Primary_School,Kwale,1.325,4.0,1.126,3.849,0.902,340.587,4339.432,2914.775,0.0,0.0,School
Mwamambi_Primary_School,Kwale,0.53,3.0,0.45,2.886,1.615,410.199,3390.442,1543.11,0.0,0.0,School
Mwamtsefu_Primary_School,Kwale,1.06,6.0,0.901,5.753,0.981,303.954,4898.102,2714.22,0.0,0.0,School
Mwangani_Primary_School,Kilifi,1.325,3.0,1.126,2.765,0.634,251.401,3964.432,2804.775,0.0,0.0,School
Mwangaza_Primary_School,Kwale,0.53,2.0,0.45,1.92,1.567,418.546,3015.442,1433.11,0.0,0.0,School
Mwanza_Primary_School,Kilifi,0.53,2.0,0.45,1.928,1.537,410.772,3015.442,1433.11,0.0,0.0,School
Mwanzwani_Primary_School,Kwale,1.06,2.0,0.901,1.842,0.816,307.416,3398.102,2274.22,0.0,0.0,School
Mwele_Primary_School,Kilifi,0.53,2.0,0.45,1.894,1.476,393.425,3015.442,1433.11,0.0,0.0,School
Mwembe_Kati_Dispensary,Kilifi,2.12,6.0,1.802,5.666,0.653,285.955,5663.422,4396.44,0.0,0.0,Clinic
Nabeiye_Primary_School,Turkana,0.53,3.0,0.45,2.863,1.281,326.233,3390.442,1543.11,0.0,0.0,School
Nagaa_Primary_School,Isiolo,0.795,3.0,0.676,2.876,1.767,586.429,3939.402,2335.665,0.0,0.0,School
Nakaalei_Primary_School,Turkana,0.795,2.0,0.676,1.861,1.044,336.746,3206.772,1853.665,0.0,0.0,School
Nakitoekakumon_Primary_School,Turkana,0.795,3.0,0.676,2.795,1.089,334.793,3581.772,1963.665,0.0,0.0,School
Namakat_Primary_School,Turkana,0.265,1.0,0.225,0.926,1.49,308.797,2449.112,902.555,0.0,0.0,School
Namortung_a_Boys_Secondary_School,Turkana,1.59,7.0,1.352,6.623,0.691,250.944,5655.762,3665.33,0.0,0.0,School
Naroo_Primary_School,Turkana,0.795,4.0,0.676,3.855,1.115,327.286,3956.772,2073.665,0.0,0.0,School
Ndugu_Zangu_Integrated_Primary_School,Isiolo,1.06,4.0,0.901,3.826,1.097,368.317,4148.102,2494.22,0.0,0.0,School
Ngoloko_Primary_School,Kilifi,0.795,3.0,0.676,2.881,1.115,343.28,3581.772,1963.665,0.0,0.0,School
Nyango_Primary_School,Kwale,0.795,2.0,0.676,1.833,0.933,303.035,3206.772,1853.665,0.0,0.0,School
Paola_Katsuhanzala_Primary_School,Kilifi,1.325,4.0,1.126,3.766,0.886,335.069,4339.432,2914.775,0.0,0.0,School
Pumwani_Primary_School,Kilifi,1.59,4.0,1.352,3.64,0.59,243.712,4530.762,3335.33,0.0,0.0,School
Sagalato_Primary_School,Kwale,1.06,3.0,0.901,2.825,0.88,310.757,3773.102,2384.22,0.0,0.0,School
Sagalla_Health_Centre,Taita_Taveta,3.975,16.0,3.379,15.398,0.97,436.578,11467.992,9184.325,0.0,0.0,Clinic
Saghaighu_dispensary,Taita_Taveta,1.59,10.0,1.352,9.653,0.733,243.687,6780.762,3995.33,0.0,0.0,Clinic
Salim_Mvurya_Secondary_School,Kwale,2.385,2.0,2.027,1.871,0.914,517.153,4354.752,4376.995,0.0,0.0,School
Sembe_Primary_School,Kwale,0.53,2.0,0.45,1.921,1.182,315.785,3015.442,1433.11,0.0,0.0,School
Shakahola_Dispensary,Kilifi,1.855,7.0,1.577,6.538,0.624,245.279,5847.092,4085.885,0.0,0.0,Clinic
Shambani_Primary_School,Isiolo,2.385,9.0,2.027,8.838,1.245,528.145,7337.382,5518.995,0.0,0.0,School
Shauri_Moyo_Primary_School,Kwale,0.265,1.0,0.225,0.951,1.937,398.552,2449.112,902.555,0.0,0.0,School
Silaloni_Primary_School,Kwale,1.325,3.0,1.126,2.701,0.706,279.747,3964.432,2804.775,0.001,0.0,School
Simanya_Primary_School,Kwale,1.06,3.0,0.901,2.79,0.932,329.632,3773.102,2384.22,0.0,0.0,School
Tata_Primary_School,Kwale,2.915,8.0,2.478,7.781,1.683,795.397,6987.412,5878.105,0.0,0.0,School
Tiwi_Boys_Secondary_school,Kwale,0.795,3.0,0.676,2.93,1.9,587.92,3581.772,1963.665,0.0,0.0,School
Todonyang_Primary_School,Turkana,0.795,3.0,0.676,2.904,1.243,385.627,3581.772,1963.665,0.0,0.0,School
Uhuru_Primary_School,Isiolo,0.795,3.0,0.676,2.894,1.46,447.262,3581.772,1963.665,0.0,0.0,School
Vithunguni_Primary_School,Kilifi,0.53,3.0,0.45,2.898,1.699,434.474,3390.442,1543.11,0.0,0.0,School
Watala_Primary_School,Kilifi,1.325,3.0,1.126,2.889,1.642,680.054,4322.062,3176.775,0.0,0.0,School
Werugha_Health_facility,Taita_Taveta,3.18,11.0,2.703,10.4,0.709,321.989,8661.372,7000.66,0.0,0.0,Clinic
Yapha_Primary_School,Kwale,1.59,6.0,1.352,5.728,1.125,428.077,5280.762,3555.33,0.0,0.0,School
Ziwani_Primary_School,Kilifi,0.795,3.0,0.676,2.913,1.93,596.233,3581.772,1963.665,0.0,0.0,School
Ziyaradundo_Primary_School,Kwale,1.325,4.0,1.126,3.642,0.719,270.957,4339.432,2914.775,0.0,0.0,School
