Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,1.06,2.0,0.901,1.912,1.306,488.643,3398.102,2274.22,0.002,0.004,School
AIC_Nayanaekaton_Primary_School,Turkana,0.53,1.0,0.45,0.918,1.291,362.657,2640.442,1323.11,0.002,0.003,School
A_IC_Gangani_Primary_School,Kwale,0.53,2.0,0.45,1.841,0.858,228.788,3015.442,1433.11,0.0,0.0,School
Abagarse_Primary_School,Isiolo,0.265,1.0,0.225,0.929,1.327,273.643,2449.112,902.555,0.004,0.008,School
Akadeli_Primary_School,Isiolo,0.795,1.0,0.676,0.905,0.64,221.612,2831.772,1743.665,0.003,0.004,School
Akili_Primary_School,Isiolo,0.53,2.0,0.45,1.868,0.984,262.178,3015.442,1433.11,0.002,0.005,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.59,7.0,1.352,6.411,0.586,213.436,5655.762,3665.33,0.003,0.004,School
Antorita_Primary_School,Kwale,0.795,3.0,0.676,2.852,0.98,303.274,3581.772,1963.665,0.004,0.01,School
Bahero_Primary_School,Kilifi,0.795,3.0,0.676,2.838,0.917,284.143,3581.772,1963.665,0.005,0.009,School
Balaga_Primary_School,Kilifi,0.795,3.0,0.676,2.78,0.769,236.657,3581.772,1963.665,0.003,0.005,School
Bengoni_Primary_School,Kilifi,1.59,6.0,1.352,5.719,0.918,348.362,5280.762,3555.33,0.002,0.01,School
Biliqo_Day_Secondary_school,Isiolo,1.325,6.0,1.126,5.442,0.527,181.377,5089.432,3134.775,0.001,0.002,School
Bomani_Primary_School,Kwale,0.53,3.0,0.45,2.786,0.832,211.589,3390.442,1543.11,0.002,0.005,School
Boyani_Dispensary,Kilifi,1.325,3.0,1.126,2.633,0.47,186.794,3964.432,2804.775,0.005,0.008,Clinic
Boyani_West_Primary_School,Kwale,0.53,2.0,0.45,1.846,0.734,195.652,3015.442,1433.11,0.007,0.007,School
Bura_Primary_School,Kilifi,1.325,5.0,1.126,4.412,0.5,180.108,4714.432,3024.775,0.006,0.01,School
Busa_Dispensary,Kwale,1.59,5.0,1.352,4.648,0.654,258.554,4905.762,3445.33,0.003,0.008,Clinic
Chidzaya_Primary_School,Kwale,0.265,1.0,0.225,0.926,1.379,285.113,2449.112,902.555,0.002,0.002,School
Chingombero_Dispensary,Kwale,1.325,3.0,1.126,2.776,0.646,266.837,4322.062,3176.775,0.006,0.009,Clinic
Chumvi_yere_Primary_School,Isiolo,2.12,12.0,1.802,10.931,0.48,177.936,8271.052,5428.44,0.005,0.01,School
Daaba_Primary_School,Isiolo,0.53,3.0,0.45,2.909,1.88,484.128,3390.442,1543.11,0.003,0.009,School
Dadacha_Basa_Dispensary,Isiolo,1.855,5.0,1.577,4.5,0.41,175.306,5097.092,3865.885,0.007,0.01,Clinic
Dadachabasa_Primary_School,Isiolo,0.53,2.0,0.45,1.904,1.229,327.234,3015.442,1433.11,0.002,0.005,School
Dera_Tumaini_Primary_School,Kilifi,0.795,3.0,0.676,2.714,0.723,222.281,3581.772,1963.665,0.002,0.002,School
Dighai_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.827,0.881,235.03,3015.442,1433.11,0.003,0.004,School
Dzendereni_Primary_School,Kwale,0.795,2.0,0.676,1.826,0.746,242.817,3206.772,1853.665,0.006,0.007,School
Dzombo_Primary_School,Kwale,0.53,2.0,0.45,1.94,1.921,511.637,3015.442,1433.11,0.0,0.001,School
Ekoropus_Primary_School,Turkana,0.53,2.0,0.45,1.833,0.802,213.76,3015.442,1433.11,0.003,0.004,School
Elsa_Primary_School,Isiolo,0.53,3.0,0.45,2.902,1.821,463.399,3390.442,1543.11,0.001,0.002,School
Elsa_Secondary_School,Isiolo,1.59,9.0,1.352,8.751,1.358,479.478,6763.392,4257.33,0.004,0.009,School
Emejen_Primary_School,Isiolo,1.325,6.0,1.126,5.407,0.534,185.025,5089.432,3134.775,0.004,0.009,School
Fudumulo_Primary_School,Kilifi,0.53,2.0,0.45,1.82,0.898,240.135,3015.442,1433.11,0.003,0.004,School
Galmadido_Primary_School,Isiolo,0.795,3.0,0.676,2.808,0.967,299.349,3581.772,1963.665,0.001,0.002,School
Galukani_Primary_School,Kilifi,2.385,11.0,2.027,10.922,3.802,1512.607,8087.382,5738.995,0.001,0.01,School
Gamachu_Primary_School,Isiolo,0.53,3.0,0.45,2.851,1.13,286.876,3390.442,1543.11,0.001,0.004,School
Garbatula_Primary_Boarding,Isiolo,1.06,3.0,0.901,2.727,0.607,214.849,3773.102,2384.22,0.006,0.009,School
Gideon_Mosi_Primary_School,Taita_Taveta,0.795,3.0,0.676,2.871,0.971,299.004,3581.772,1963.665,0.002,0.007,School
Gozani_Primary_School,Kwale,0.795,3.0,0.676,2.767,0.715,219.849,3581.772,1963.665,0.001,0.001,School
Hawe_Wanje_Primary_School,Kilifi,0.795,3.0,0.676,2.723,0.706,217.695,3581.772,1963.665,0.007,0.01,School
Isiolo_Samburu_Complex_Dispensary,Isiolo,1.59,6.0,1.352,5.707,0.772,303.232,5638.392,3927.33,0.005,0.01,Clinic
Isiolo_Samburu_Complex_Primary_School,Isiolo,0.53,1.0,0.45,0.951,1.745,489.67,2640.442,1323.11,0.0,0.001,School
Jezazhomu_Primary_School,Kilifi,0.795,4.0,0.676,3.685,0.736,217.165,3956.772,2073.665,0.004,0.01,School
Jitegemee_Primary_School,Kwale,0.795,2.0,0.676,1.805,0.739,239.169,3206.772,1853.665,0.002,0.002,School
Kaalem_Primary_School,Turkana,0.53,2.0,0.45,1.831,1.011,269.591,3015.442,1433.11,0.003,0.006,School
Kadunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.953,1.933,399.397,2449.112,902.555,0.002,0.005,School
Kajungunyi_Primary_School,Taita_Taveta,1.59,8.0,1.352,7.277,0.505,177.158,6030.762,3775.33,0.006,0.009,School
Kakalel_Boys_Secondary_School,Turkana,1.325,4.0,1.126,3.773,0.878,329.483,4339.432,2914.775,0.003,0.007,School
Kalokoda_Primary_School,Turkana,0.265,1.0,0.225,0.932,1.844,380.661,2449.112,902.555,0.0,0.0,School
Kaluweni_Primary_School,Kwale,0.53,2.0,0.45,1.796,0.809,215.519,3015.442,1433.11,0.001,0.001,School
Kaole_Primary_School,Kilifi,1.325,5.0,1.126,4.739,0.986,355.511,4714.432,3024.775,0.002,0.005,School
Kapecha_Primary_School,Kilifi,1.325,5.0,1.126,4.704,0.813,295.363,4714.432,3024.775,0.003,0.008,School
Karyaka_Primary_School,Kwale,0.795,2.0,0.676,1.858,0.813,264.172,3206.772,1853.665,0.003,0.004,School
Kasimani_Primary_School,Kilifi,1.325,3.0,1.126,2.643,0.549,218.25,3964.432,2804.775,0.007,0.009,School
Kasuroi_Primary_School,Turkana,0.53,2.0,0.45,1.857,1.056,281.803,3015.442,1433.11,0.0,0.0,School
Kavunyalo_Dispensary,Kilifi,1.855,5.0,1.577,4.426,0.459,195.6,5097.092,3865.885,0.005,0.01,Clinic
Kawala_Girls_Secondary_School,Kilifi,0.795,2.0,0.676,1.857,0.73,236.371,3206.772,1853.665,0.005,0.005,School
Kawalash_Primary_School,Isiolo,0.795,1.0,0.676,0.914,1.197,415.077,2831.772,1743.665,0.003,0.008,School
Kibora_Primary_School,Kilifi,0.53,2.0,0.45,1.896,1.214,323.558,3015.442,1433.11,0.001,0.002,School
Kidomaya_Primary_School,Kwale,0.795,3.0,0.676,2.783,0.695,213.221,3581.772,1963.665,0.002,0.002,School
Kikonde_Primary_School,Kwale,0.795,3.0,0.676,2.747,0.632,194.492,3581.772,1963.665,0.004,0.004,School
Kinna_Primary_School,Isiolo,0.265,2.0,0.225,1.872,1.14,229.054,2824.112,1012.555,0.001,0.001,School
Kiteje_Mixed_Secondary_School,Kwale,1.59,6.0,1.352,5.382,0.439,165.939,5280.762,3555.33,0.005,0.005,School
Kithengwani_Primary_School,Kilifi,0.53,1.0,0.45,0.959,2.304,647.681,2640.442,1323.11,0.0,0.0,School
Kituoni_Primary_School,Kwale,0.53,2.0,0.45,1.87,0.997,266.35,3015.442,1433.11,0.0,0.0,School
Kituu_Primary_School,Kwale,1.325,5.0,1.126,4.51,0.518,187.101,4714.432,3024.775,0.006,0.008,School
Kizimbani_Primary_School,Kwale,0.53,2.0,0.45,1.809,0.895,239.18,3015.442,1433.11,0.003,0.003,School
Kombola_primary_school,Isiolo,0.53,1.0,0.45,0.919,1.288,360.179,2640.442,1323.11,0.002,0.005,School
Konjora_Primary_School,Kilifi,0.53,1.0,0.45,0.935,1.177,331.597,2640.442,1323.11,0.0,0.0,School
Kubimatamuka_Primary_School,Isiolo,0.53,2.0,0.45,1.851,1.001,266.53,3015.442,1433.11,0.0,0.0,School
KulaMawe_Primary_School,Isiolo,1.06,3.0,0.901,2.828,0.815,290.134,3773.102,2384.22,0.004,0.009,School
Kulalu_Primary_School,Kilifi,0.53,2.0,0.45,1.848,0.969,257.475,3015.442,1433.11,0.001,0.002,School
Lakole_Primary_School,Isiolo,0.795,3.0,0.676,2.854,1.124,344.801,3581.772,1963.665,0.001,0.004,School
Lobei_Primary_School,Turkana,1.06,3.0,0.901,2.695,0.731,259.153,3773.102,2384.22,0.005,0.01,School
Lokitaung_Girls_Secondary_School,Turkana,1.06,6.0,0.901,5.523,0.628,195.388,4898.102,2714.22,0.005,0.007,School
Loruth_Primary_School,Turkana,0.53,2.0,0.45,1.795,0.802,213.755,3015.442,1433.11,0.002,0.002,School
Lunguma_Primary_School,Kwale,0.795,2.0,0.676,1.825,0.805,261.292,3206.772,1853.665,0.002,0.002,School
Lwayoni_Primary_School,Kwale,1.325,5.0,1.126,4.582,0.618,231.828,5072.062,3396.775,0.003,0.003,School
Mabayani_Primary_School,Kwale,0.795,3.0,0.676,2.76,0.802,246.207,3581.772,1963.665,0.003,0.004,School
Mabesheni_Dispensary,Kwale,1.325,5.0,1.126,4.528,0.485,174.523,4714.432,3024.775,0.006,0.007,Clinic
Madibwani_Primary_School,Kwale,0.53,2.0,0.45,1.866,1.253,334.613,3015.442,1433.11,0.002,0.01,School
Maendeleo_Primary_School,Kwale,0.53,2.0,0.45,1.812,0.869,231.904,3015.442,1433.11,0.001,0.002,School
Mafisini_Primary_School,Kwale,0.795,3.0,0.676,2.877,0.87,268.903,3581.772,1963.665,0.004,0.008,School
Magale_Primary_School,Kwale,0.795,1.0,0.676,0.881,0.894,309.021,2831.772,1743.665,0.008,0.009,School
Magodzoni_Primary_School,Kwale,0.53,2.0,0.45,1.825,0.901,239.949,3015.442,1433.11,0.004,0.005,School
Maiyini_Primary_School,Kwale,0.53,2.0,0.45,1.835,0.935,249.246,3015.442,1433.11,0.001,0.001,School
Majoreni_Primary_School,Kwale,1.855,8.0,1.577,7.168,0.443,172.85,6579.722,4567.885,0.007,0.009,School
Makamini_Dispensary,Kwale,0.795,2.0,0.676,1.855,0.87,282.412,3206.772,1853.665,0.003,0.008,Clinic
Makonjeni_Primary_School,Kilifi,1.325,5.0,1.126,4.827,1.374,497.399,4714.432,3024.775,0.002,0.009,School
Malkadaka_Primary_School,Isiolo,0.795,2.0,0.676,1.811,0.828,267.738,3206.772,1853.665,0.005,0.007,School
Mama_Saleti_Primary_School,Isiolo,0.53,1.0,0.45,0.942,1.947,546.476,2640.442,1323.11,0.001,0.008,School
Mapawa_Primary_School,Kilifi,0.795,3.0,0.676,2.797,0.977,301.069,3581.772,1963.665,0.002,0.01,School
Maphanga_Primary_School,Kwale,0.795,2.0,0.676,1.857,1.178,412.331,3564.402,2225.665,0.001,0.008,School
Marafiki_Primary_School,Kilifi,0.53,1.0,0.45,0.948,1.68,473.092,2640.442,1323.11,0.002,0.002,School
Mataarba_Primary_School,Isiolo,0.53,2.0,0.45,1.877,1.289,342.977,3015.442,1433.11,0.0,0.001,School
Matagari_primary_School,Isiolo,1.325,5.0,1.126,4.803,0.887,317.807,4714.432,3024.775,0.002,0.003,School
Matolani_Primary_School,Kilifi,0.53,2.0,0.45,1.925,1.387,371.85,3015.442,1433.11,0.001,0.005,School
Mawe_Mabomu_Primary_School,Kilifi,0.53,2.0,0.45,1.777,0.7,186.743,3015.442,1433.11,0.008,0.009,School
Maya_Island_Primary_School,Kilifi,1.06,4.0,0.901,3.852,1.258,425.503,4148.102,2494.22,0.002,0.007,School
Mazola_Dispensary,Kwale,1.06,3.0,0.901,2.76,0.747,264.019,3773.102,2384.22,0.004,0.009,Clinic
Mbararani_Primary_School,Kwale,0.265,2.0,0.225,1.909,1.419,285.18,2824.112,1012.555,0.003,0.004,School
Mbilini_Primary_School,Kwale,0.265,1.0,0.225,0.953,2.431,504.076,2449.112,902.555,0.0,0.0,School
Mbita_Primary_School,Kwale,1.325,5.0,1.126,4.556,0.577,208.212,4714.432,3024.775,0.005,0.008,School
Mbulia_Dispensary,Taita_Taveta,0.53,2.0,0.45,1.819,0.89,237.213,3015.442,1433.11,0.005,0.01,Clinic
Mchinjirini_Primary_School,Kwale,1.855,5.0,1.577,4.749,0.761,324.401,5097.092,3865.885,0.003,0.01,School
Melikubwa_Primary_School,Kwale,0.795,2.0,0.676,1.869,0.933,303.36,3206.772,1853.665,0.002,0.003,School
Merti_Muslim_Primary_School,Isiolo,0.53,3.0,0.45,2.814,1.029,262.896,3390.442,1543.11,0.002,0.007,School
Mgange_Dawida_Health_centre,Taita_Taveta,2.12,13.0,1.802,12.66,1.07,383.214,8646.052,5538.44,0.004,0.01,Clinic
Mgange_Nyika_health_centre,Taita_Taveta,3.71,26.0,3.154,25.692,2.468,927.531,15384.292,10235.77,0.001,0.01,Clinic
Mikameni_Primary_School,Kwale,0.795,3.0,0.676,2.761,0.673,207.912,3581.772,1963.665,0.006,0.01,School
Mitangani_Primary_School,Kilifi,0.265,1.0,0.225,0.934,1.686,348.842,2449.112,902.555,0.001,0.001,School
Mitangoni_Primary_School,Kilifi,0.53,2.0,0.45,1.797,0.754,200.978,3015.442,1433.11,0.007,0.01,School
Mitulani_Primary_School,Kilifi,0.53,5.0,0.45,4.857,1.092,262.14,4140.442,1763.11,0.002,0.01,School
Mitunguni_Primary_School,Kwale,0.265,1.0,0.225,0.949,1.366,282.425,2449.112,902.555,0.002,0.002,School
Mkuluni_Primary_School,Kilifi,1.325,6.0,1.126,5.685,0.935,335.626,5447.062,3506.775,0.003,0.006,School
Mlilo_Primary_School,Taita_Taveta,0.53,1.0,0.45,0.885,0.923,259.94,2640.442,1323.11,0.006,0.007,School
Mlola_Primary_School,Kwale,0.53,1.0,0.45,0.885,0.931,261.419,2640.442,1323.11,0.008,0.01,School
Mogore_Primary_School,Isiolo,0.265,1.0,0.225,0.953,1.848,383.544,2449.112,902.555,0.001,0.001,School
Mrima_Wa_Kuku_Primary_School,Kilifi,0.53,2.0,0.45,1.896,1.111,296.911,3015.442,1433.11,0.002,0.008,School
