Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
Chidzaya_Primary_School,Kwale,0.265,1.0,0.225,0.926,1.379,285.113,2449.112,902.555,0.002,0.002,School
Chingombero_Dispensary,Kwale,1.06,2.0,0.901,1.786,0.577,228.708,3755.732,2646.22,0.029,0.036,Clinic
Chumvi_yere_Primary_School,Isiolo,2.12,9.0,1.802,7.97,0.428,172.651,7146.052,5098.44,0.022,0.041,School
Daaba_Primary_School,Isiolo,0.53,2.0,0.45,1.913,1.728,464.32,3015.442,1433.11,0.017,0.039,School
Dadacha_Basa_Dispensary,Isiolo,1.325,4.0,1.126,3.52,0.361,136.937,4339.432,2914.775,0.039,0.044,Clinic
Dadachabasa_Primary_School,Isiolo,0.53,1.0,0.45,0.909,1.11,311.938,2640.442,1323.11,0.018,0.035,School
Dera_Tumaini_Primary_School,Kilifi,0.53,2.0,0.45,1.724,0.626,167.616,3015.442,1433.11,0.029,0.034,School
Dighai_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.827,0.881,235.03,3015.442,1433.11,0.003,0.004,School
Dzendereni_Primary_School,Kwale,0.53,2.0,0.45,1.829,0.717,191.892,3015.442,1433.11,0.023,0.029,School
Dzombo_Primary_School,Kwale,0.265,1.0,0.225,0.942,1.612,332.977,2449.112,902.555,0.01,0.032,School
Ekoropus_Primary_School,Turkana,0.53,2.0,0.45,1.833,0.802,213.76,3015.442,1433.11,0.003,0.004,School
Elsa_Primary_School,Isiolo,0.53,2.0,0.45,1.903,1.641,436.12,3015.442,1433.11,0.004,0.015,School
Elsa_Secondary_School,Isiolo,1.325,8.0,1.126,7.761,1.292,437.455,6197.062,3726.775,0.02,0.049,School
Emejen_Primary_School,Isiolo,1.06,5.0,0.901,4.414,0.479,155.377,4523.102,2604.22,0.009,0.02,School
Fudumulo_Primary_School,Kilifi,0.53,2.0,0.45,1.82,0.898,240.135,3015.442,1433.11,0.003,0.004,School
Galmadido_Primary_School,Isiolo,0.53,2.0,0.45,1.814,0.838,225.291,3015.442,1433.11,0.015,0.031,School
Galukani_Primary_School,Kilifi,1.06,5.0,0.901,4.925,2.384,815.834,4880.732,2976.22,0.002,0.048,School
Gamachu_Primary_School,Isiolo,0.53,2.0,0.45,1.854,1.021,271.015,3015.442,1433.11,0.007,0.02,School
Garbatula_Primary_Boarding,Isiolo,0.795,3.0,0.676,2.726,0.579,177.832,3581.772,1963.665,0.01,0.014,School
Gideon_Mosi_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.872,0.831,222.039,3015.442,1433.11,0.009,0.025,School
Gozani_Primary_School,Kwale,0.53,2.0,0.45,1.774,0.621,165.992,3015.442,1433.11,0.026,0.035,School
Hawe_Wanje_Primary_School,Kilifi,0.53,3.0,0.45,2.734,0.69,177.185,3390.442,1543.11,0.03,0.044,School
Isiolo_Samburu_Complex_Dispensary,Isiolo,1.325,4.0,1.126,3.718,0.663,261.679,4697.062,3286.775,0.02,0.039,Clinic
Isiolo_Samburu_Complex_Primary_School,Isiolo,0.265,1.0,0.225,0.944,1.627,336.169,2449.112,902.555,0.004,0.012,School
Jezazhomu_Primary_School,Kilifi,0.795,3.0,0.676,2.69,0.676,208.692,3581.772,1963.665,0.01,0.024,School
Jitegemee_Primary_School,Kwale,0.53,2.0,0.45,1.806,0.706,187.976,3015.442,1433.11,0.017,0.019,School
Kaalem_Primary_School,Turkana,0.265,2.0,0.225,1.839,0.987,199.24,2824.112,1012.555,0.031,0.049,School
Kadunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.953,1.933,399.397,2449.112,902.555,0.002,0.005,School
Kajungunyi_Primary_School,Taita_Taveta,1.59,6.0,1.352,5.307,0.457,172.918,5280.762,3555.33,0.023,0.043,School
Kakalel_Boys_Secondary_School,Turkana,0.795,3.0,0.676,2.783,0.754,231.26,3581.772,1963.665,0.023,0.046,School
Kalokoda_Primary_School,Turkana,0.265,1.0,0.225,0.932,1.844,380.661,2449.112,902.555,0.0,0.0,School
Kaluweni_Primary_School,Kwale,0.53,2.0,0.45,1.796,0.809,215.519,3015.442,1433.11,0.001,0.001,School
Kaole_Primary_School,Kilifi,0.795,3.0,0.676,2.751,0.781,240.475,3581.772,1963.665,0.012,0.045,School
Kapecha_Primary_School,Kilifi,1.06,4.0,0.901,3.713,0.732,249.526,4148.102,2494.22,0.013,0.031,School
Karyaka_Primary_School,Kwale,0.53,2.0,0.45,1.857,0.774,206.851,3015.442,1433.11,0.015,0.018,School
Kasimani_Primary_School,Kilifi,0.795,3.0,0.676,2.647,0.502,155.028,3581.772,1963.665,0.02,0.023,School
Kasuroi_Primary_School,Turkana,0.53,1.0,0.45,0.867,0.969,273.689,2640.442,1323.11,0.04,0.048,School
Kavunyalo_Dispensary,Kilifi,1.59,4.0,1.352,3.45,0.42,174.53,4530.762,3335.33,0.039,0.041,Clinic
Kawala_Girls_Secondary_School,Kilifi,0.795,1.0,0.676,0.868,0.666,230.469,2831.772,1743.665,0.046,0.038,School
Kawalash_Primary_School,Isiolo,0.53,1.0,0.45,0.911,1.118,315.636,2640.442,1323.11,0.005,0.011,School
Kibora_Primary_School,Kilifi,0.53,1.0,0.45,0.905,1.116,314.14,2640.442,1323.11,0.025,0.049,School
Kidomaya_Primary_School,Kwale,0.795,2.0,0.676,1.789,0.631,204.496,3206.772,1853.665,0.016,0.017,School
Kikonde_Primary_School,Kwale,0.795,2.0,0.676,1.757,0.579,188.284,3206.772,1853.665,0.03,0.028,School
Kinna_Primary_School,Isiolo,0.265,1.0,0.225,0.879,1.025,212.455,2449.112,902.555,0.032,0.039,School
Kiteje_Mixed_Secondary_School,Kwale,1.325,5.0,1.126,4.399,0.401,144.608,4714.432,3024.775,0.025,0.028,School
Kithengwani_Primary_School,Kilifi,0.265,1.0,0.225,0.956,2.156,446.12,2449.112,902.555,0.003,0.012,School
Kituoni_Primary_School,Kwale,0.53,1.0,0.45,0.878,0.906,255.892,2640.442,1323.11,0.034,0.038,School
Kituu_Primary_School,Kwale,1.06,4.0,0.901,3.525,0.467,158.205,4148.102,2494.22,0.024,0.032,School
Kizimbani_Primary_School,Kwale,0.53,2.0,0.45,1.809,0.895,239.18,3015.442,1433.11,0.003,0.003,School
Kombola_primary_school,Isiolo,0.265,1.0,0.225,0.918,1.205,248.123,2449.112,902.555,0.009,0.016,School
Konjora_Primary_School,Kilifi,0.265,1.0,0.225,0.923,1.102,228.728,2449.112,902.555,0.011,0.017,School
Kubimatamuka_Primary_School,Isiolo,0.53,1.0,0.45,0.86,0.91,256.651,2640.442,1323.11,0.033,0.04,School
KulaMawe_Primary_School,Isiolo,0.795,2.0,0.676,1.835,0.716,233.393,3206.772,1853.665,0.018,0.042,School
Kulalu_Primary_School,Kilifi,0.53,2.0,0.45,1.848,0.969,257.475,3015.442,1433.11,0.001,0.002,School
Lakole_Primary_School,Isiolo,0.53,2.0,0.45,1.857,0.969,257.68,3015.442,1433.11,0.01,0.028,School
Lobei_Primary_School,Turkana,0.53,3.0,0.45,2.705,0.68,174.298,3390.442,1543.11,0.028,0.048,School
Lokitaung_Girls_Secondary_School,Turkana,1.06,5.0,0.901,4.531,0.589,190.395,4523.102,2604.22,0.016,0.022,School
Loruth_Primary_School,Turkana,0.53,2.0,0.45,1.795,0.802,213.755,3015.442,1433.11,0.002,0.002,School
Lunguma_Primary_School,Kwale,0.53,2.0,0.45,1.827,0.77,205.896,3015.442,1433.11,0.017,0.021,School
Lwayoni_Primary_School,Kwale,1.06,4.0,0.901,3.594,0.562,200.729,4505.732,2866.22,0.022,0.028,School
Mabayani_Primary_School,Kwale,0.53,3.0,0.45,2.761,0.764,195.025,3390.442,1543.11,0.009,0.012,School
Mabesheni_Dispensary,Kwale,1.06,4.0,0.901,3.549,0.441,149.125,4148.102,2494.22,0.036,0.04,Clinic
Madibwani_Primary_School,Kwale,0.265,2.0,0.225,1.871,1.212,244.732,2824.112,1012.555,0.02,0.043,School
Maendeleo_Primary_School,Kwale,0.53,2.0,0.45,1.812,0.869,231.904,3015.442,1433.11,0.001,0.002,School
Mafisini_Primary_School,Kwale,0.53,2.0,0.45,1.879,0.754,201.912,3015.442,1433.11,0.02,0.036,School
Magale_Primary_School,Kwale,0.53,1.0,0.45,0.88,0.835,235.141,2640.442,1323.11,0.011,0.012,School
Magodzoni_Primary_School,Kwale,0.53,2.0,0.45,1.825,0.901,239.949,3015.442,1433.11,0.004,0.005,School
Maiyini_Primary_School,Kwale,0.53,2.0,0.45,1.835,0.935,249.246,3015.442,1433.11,0.001,0.001,School
Majoreni_Primary_School,Kwale,1.59,6.0,1.352,5.205,0.393,154.391,5638.392,3927.33,0.042,0.045,School
Makamini_Dispensary,Kwale,0.53,1.0,0.45,0.862,0.743,209.738,2640.442,1323.11,0.032,0.046,Clinic
Makonjeni_Primary_School,Kilifi,0.795,3.0,0.676,2.833,1.085,335.927,3581.772,1963.665,0.013,0.048,School
Malkadaka_Primary_School,Isiolo,0.53,2.0,0.45,1.813,0.787,209.659,3015.442,1433.11,0.013,0.019,School
Mama_Saleti_Primary_School,Isiolo,0.265,1.0,0.225,0.941,1.809,373.405,2449.112,902.555,0.003,0.011,School
Mapawa_Primary_School,Kilifi,0.53,2.0,0.45,1.798,0.831,222.032,3015.442,1433.11,0.005,0.021,School
Maphanga_Primary_School,Kwale,0.795,1.0,0.676,0.864,1.086,405.479,3189.402,2115.665,0.034,0.039,School
Marafiki_Primary_School,Kilifi,0.265,1.0,0.225,0.948,1.602,332.47,2449.112,902.555,0.027,0.032,School
Mataarba_Primary_School,Isiolo,0.265,2.0,0.225,1.881,1.246,251.032,2824.112,1012.555,0.015,0.035,School
Matagari_primary_School,Isiolo,1.06,3.0,0.901,2.815,0.737,260.285,3773.102,2384.22,0.013,0.039,School
Matolani_Primary_School,Kilifi,0.53,1.0,0.45,0.931,1.26,356.046,2640.442,1323.11,0.017,0.039,School
Mawe_Mabomu_Primary_School,Kilifi,0.53,2.0,0.45,1.777,0.7,186.743,3015.442,1433.11,0.008,0.009,School
Maya_Island_Primary_School,Kilifi,0.795,2.0,0.676,1.859,1.004,326.761,3206.772,1853.665,0.011,0.039,School
Mazola_Dispensary,Kwale,0.53,3.0,0.45,2.766,0.69,176.311,3390.442,1543.11,0.023,0.039,Clinic
Mbararani_Primary_School,Kwale,0.265,1.0,0.225,0.911,1.252,258.892,2449.112,902.555,0.014,0.022,School
Mbilini_Primary_School,Kwale,0.265,1.0,0.225,0.953,2.431,504.076,2449.112,902.555,0.0,0.0,School
Mbita_Primary_School,Kwale,1.06,4.0,0.901,3.571,0.523,177.026,4148.102,2494.22,0.024,0.037,School
Mbulia_Dispensary,Taita_Taveta,0.53,2.0,0.45,1.819,0.89,237.213,3015.442,1433.11,0.005,0.01,Clinic
Mchinjirini_Primary_School,Kwale,1.325,3.0,1.126,2.761,0.614,244.087,3964.432,2804.775,0.018,0.045,School
Melikubwa_Primary_School,Kwale,0.53,1.0,0.45,0.876,0.804,227.375,2640.442,1323.11,0.039,0.05,School
Merti_Muslim_Primary_School,Isiolo,0.53,2.0,0.45,1.824,0.954,254.922,3015.442,1433.11,0.016,0.048,School
Mgange_Dawida_Health_centre,Taita_Taveta,1.59,11.0,1.352,10.671,0.963,321.263,7513.392,4477.33,0.014,0.045,Clinic
Mgange_Nyika_health_centre,Taita_Taveta,3.18,18.0,2.703,17.705,2.005,804.086,12001.632,8514.66,0.005,0.049,Clinic
Mikameni_Primary_School,Kwale,0.795,2.0,0.676,1.775,0.624,203.455,3206.772,1853.665,0.029,0.043,School
Mitangani_Primary_School,Kilifi,0.265,1.0,0.225,0.934,1.686,348.842,2449.112,902.555,0.001,0.001,School
Mitangoni_Primary_School,Kilifi,0.53,2.0,0.45,1.797,0.754,200.978,3015.442,1433.11,0.007,0.01,School
Mitulani_Primary_School,Kilifi,0.53,2.0,0.45,1.862,0.811,217.345,3015.442,1433.11,0.007,0.028,School
Mitunguni_Primary_School,Kwale,0.265,1.0,0.225,0.949,1.366,282.425,2449.112,902.555,0.002,0.002,School
Mkuluni_Primary_School,Kilifi,1.06,4.0,0.901,3.7,0.806,286.07,4505.732,2866.22,0.016,0.046,School
Mlilo_Primary_School,Taita_Taveta,0.265,1.0,0.225,0.884,0.877,182.163,2449.112,902.555,0.035,0.034,School
Mlola_Primary_School,Kwale,0.53,1.0,0.45,0.885,0.931,261.419,2640.442,1323.11,0.008,0.01,School
Mogore_Primary_School,Isiolo,0.265,1.0,0.225,0.953,1.848,383.544,2449.112,902.555,0.001,0.001,School
Mrima_Wa_Kuku_Primary_School,Kilifi,0.53,1.0,0.45,0.898,0.986,277.716,2640.442,1323.11,0.008,0.02,School
Mtsamviani_Secondary_School,Kwale,1.06,4.0,0.901,3.492,0.416,140.843,4148.102,2494.22,0.041,0.05,School
Mtsangatamu_Primary_School,Kwale,0.53,2.0,0.45,1.874,0.804,214.723,3015.442,1433.11,0.012,0.014,School
Mtumwa_Dispensary,Kwale,1.325,5.0,1.126,4.492,0.493,192.997,5429.692,3768.775,0.032,0.042,Clinic
Muchuro_Primary_School,Isiolo,0.265,1.0,0.225,0.969,3.659,749.673,2449.112,902.555,0.001,0.002,School
Mugumoni_Primary_School,Kilifi,0.53,2.0,0.45,1.895,1.512,401.117,3015.442,1433.11,0.002,0.004,School
Muhumkulu_Primary_School,Kilifi,1.06,3.0,0.901,2.67,0.545,194.213,3773.102,2384.22,0.025,0.042,School
Munandanur_Primary_School,Isiolo,0.53,1.0,0.45,0.899,1.015,284.256,2640.442,1323.11,0.017,0.018,School
Mwaluvuno_Primary_School,Kwale,0.53,2.0,0.45,1.851,0.656,175.44,3015.442,1433.11,0.037,0.047,School
Mwamambi_Primary_School,Kwale,0.265,2.0,0.225,1.889,1.389,278.766,2824.112,1012.555,0.015,0.034,School
Mwamtsefu_Primary_School,Kwale,0.795,3.0,0.676,2.759,0.731,224.571,3581.772,1963.665,0.01,0.021,School
Mwangani_Primary_School,Kilifi,0.795,2.0,0.676,1.761,0.518,168.058,3206.772,1853.665,0.013,0.013,School
Mwangaza_Primary_School,Kwale,0.265,1.0,0.225,0.918,1.284,266.197,2449.112,902.555,0.008,0.011,School
Mwanza_Primary_School,Kilifi,0.265,1.0,0.225,0.925,1.272,263.781,2449.112,902.555,0.016,0.021,School
Mwanzwani_Primary_School,Kwale,0.53,2.0,0.45,1.84,0.728,194.915,3015.442,1433.11,0.007,0.007,School
Mwele_Primary_School,Kilifi,0.265,1.0,0.225,0.893,1.221,252.495,2449.112,902.555,0.012,0.02,School
Mwembe_Kati_Dispensary,Kilifi,1.06,3.0,0.901,2.68,0.453,161.861,3773.102,2384.22,0.035,0.042,Clinic
Nabeiye_Primary_School,Turkana,0.53,2.0,0.45,1.863,1.14,303.259,3015.442,1433.11,0.001,0.001,School
Nagaa_Primary_School,Isiolo,0.265,1.0,0.225,0.881,1.319,336.377,2806.742,1274.555,0.023,0.049,School
Nakaalei_Primary_School,Turkana,0.53,2.0,0.45,1.86,0.983,261.009,3015.442,1433.11,0.003,0.003,School
Nakitoekakumon_Primary_School,Turkana,0.53,2.0,0.45,1.796,0.924,246.742,3015.442,1433.11,0.007,0.01,School
Namakat_Primary_School,Turkana,0.265,1.0,0.225,0.926,1.49,308.797,2449.112,902.555,0.0,0.0,School
Namortung_a_Boys_Secondary_School,Turkana,1.325,3.0,1.126,2.649,0.507,201.493,3964.432,2804.775,0.029,0.045,School
Naroo_Primary_School,Turkana,0.53,2.0,0.45,1.857,0.865,230.448,3015.442,1433.11,0.013,0.019,School
Ndugu_Zangu_Integrated_Primary_School,Isiolo,0.53,2.0,0.45,1.834,0.823,218.93,3015.442,1433.11,0.016,0.033,School
Ngoloko_Primary_School,Kilifi,0.53,1.0,0.45,0.887,0.85,239.749,2640.442,1323.11,0.023,0.034,School
Nyango_Primary_School,Kwale,0.53,2.0,0.45,1.832,0.879,234.749,3015.442,1433.11,0.002,0.002,School
Paola_Katsuhanzala_Primary_School,Kilifi,0.795,3.0,0.676,2.768,0.745,230.114,3581.772,1963.665,0.011,0.02,School
Pumwani_Primary_School,Kilifi,0.795,3.0,0.676,2.645,0.476,146.724,3581.772,1963.665,0.021,0.022,School
Sagalato_Primary_School,Kwale,0.53,2.0,0.45,1.832,0.734,195.96,3015.442,1433.11,0.031,0.046,School
Sagalla_Health_Centre,Taita_Taveta,2.65,10.0,2.253,9.432,0.732,320.807,8261.342,6421.55,0.019,0.048,Clinic
Saghaighu_dispensary,Taita_Taveta,1.59,3.0,1.352,2.686,0.472,207.3,4155.762,3225.33,0.034,0.049,Clinic
Salim_Mvurya_Secondary_School,Kwale,1.06,1.0,0.901,0.869,0.655,264.708,3023.102,2164.22,0.036,0.035,School
Sembe_Primary_School,Kwale,0.265,1.0,0.225,0.919,0.987,205.114,2449.112,902.555,0.033,0.032,School
Shakahola_Dispensary,Kilifi,1.06,4.0,0.901,3.556,0.458,155.443,4148.102,2494.22,0.025,0.037,Clinic
Shambani_Primary_School,Isiolo,1.06,2.0,0.901,1.84,0.663,264.349,3755.732,2646.22,0.016,0.043,School
Shauri_Moyo_Primary_School,Kwale,0.265,1.0,0.225,0.951,1.937,398.552,2449.112,902.555,0.0,0.0,School
Silaloni_Primary_School,Kwale,0.53,3.0,0.45,2.704,0.618,158.073,3390.442,1543.11,0.022,0.027,School
Simanya_Primary_School,Kwale,0.53,2.0,0.45,1.795,0.765,203.946,3015.442,1433.11,0.019,0.028,School
Tata_Primary_School,Kwale,1.325,5.0,1.126,4.785,1.166,420.669,4714.432,3024.775,0.008,0.027,School
Tiwi_Boys_Secondary_school,Kwale,0.53,2.0,0.45,1.93,1.621,434.888,3015.442,1433.11,0.005,0.014,School
Todonyang_Primary_School,Turkana,0.53,2.0,0.45,1.904,1.058,284.633,3015.442,1433.11,0.007,0.012,School
Uhuru_Primary_School,Isiolo,0.53,2.0,0.45,1.894,1.238,328.777,3015.442,1433.11,0.003,0.008,School
Vithunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.9,1.248,258.59,2449.112,902.555,0.006,0.017,School
Watala_Primary_School,Kilifi,0.795,2.0,0.676,1.886,1.378,485.376,3564.402,2225.665,0.011,0.02,School
Werugha_Health_facility,Taita_Taveta,2.385,7.0,2.027,6.43,0.562,254.57,6587.382,5298.995,0.025,0.042,Clinic
Yapha_Primary_School,Kwale,0.795,4.0,0.676,3.742,0.882,261.736,3956.772,2073.665,0.019,0.045,School
Ziwani_Primary_School,Kilifi,0.53,2.0,0.45,1.917,1.679,449.643,3015.442,1433.11,0.007,0.032,School
Ziyaradundo_Primary_School,Kwale,0.795,3.0,0.676,2.646,0.607,187.203,3581.772,1963.665,0.018,0.025,School
